setting,method,scope,target_id,outer_fold,phase,auc
fresh,cats_full,target_fold_mean,,,,0.7515566990117332
fresh,cats_likelihood,target_fold_mean,,,,0.750540912903035
fresh,combined,target_fold_mean,,,,0.7610309046865511
fresh,fisher,target_fold_mean,,,,0.7627897546522288
fresh,geometry_only,target_fold_mean,,,,0.7365224780840464
fresh,geometry_position,target_fold_mean,,,,0.7400748283600812
fresh,mean_only,target_fold_mean,,,,0.7524282738252861
fresh,min_k_plus_plus_20,target_fold_mean,,,,0.7340873377368954
fresh,negative_loss,target_fold_mean,,,,0.6966270815509159
fresh,ordinary,target_fold_mean,,,,0.7548460215395408
fresh,rich_likelihood,target_fold_mean,,,,0.7610309046865511
fresh,without_concentration,target_fold_mean,,,,0.7544945939338052
fresh,without_divergence,target_fold_mean,,,,0.7591432258821728
fresh,without_geometry,target_fold_mean,,,,0.7580618953991485
fresh,without_likelihood,target_fold_mean,,,,0.7201100431730852
fresh,without_peak,target_fold_mean,,,,0.7558737998251049
fresh,without_trajectory,target_fold_mean,,,,0.7513087205113844
initial,cats_full,target_fold_mean,,,,0.7368766640661188
initial,cats_likelihood,target_fold_mean,,,,0.7367887636065608
initial,combined,target_fold_mean,,,,0.7459703984530055
initial,fisher,target_fold_mean,,,,0.7505088992366297
initial,geometry_only,target_fold_mean,,,,0.7028968896116479
initial,geometry_position,target_fold_mean,,,,0.7073034518146153
initial,mean_only,target_fold_mean,,,,0.7350736322451397
initial,min_k_plus_plus_20,target_fold_mean,,,,0.7237731857808364
initial,negative_loss,target_fold_mean,,,,0.681990295909074
initial,ordinary,target_fold_mean,,,,0.7455560183185366
initial,rich_likelihood,target_fold_mean,,,,0.7459703984530055
initial,without_concentration,target_fold_mean,,,,0.7474371217560928
initial,without_divergence,target_fold_mean,,,,0.7454084465685388
initial,without_geometry,target_fold_mean,,,,0.7415680283250724
initial,without_likelihood,target_fold_mean,,,,0.695215428924627
initial,without_peak,target_fold_mean,,,,0.748013089778333
initial,without_trajectory,target_fold_mean,,,,0.7460981979522601
pythia160,cats_full,target_fold_mean,,,,0.8434833333333333
pythia160,cats_likelihood,target_fold_mean,,,,0.8408437499999999
pythia160,combined,target_fold_mean,,,,0.8552645833333333
pythia160,fisher,target_fold_mean,,,,0.8539458333333333
pythia160,geometry_only,target_fold_mean,,,,0.8290312500000001
pythia160,geometry_position,target_fold_mean,,,,0.8326395833333334
pythia160,mean_only,target_fold_mean,,,,0.846825
pythia160,min_k_plus_plus_20,target_fold_mean,,,,0.8179375
pythia160,negative_loss,target_fold_mean,,,,0.7888666666666668
pythia160,ordinary,target_fold_mean,,,,0.8512791666666665
pythia160,rich_likelihood,target_fold_mean,,,,0.8568250000000001
pythia160,without_concentration,target_fold_mean,,,,0.8539749999999999
pythia160,without_divergence,target_fold_mean,,,,0.8522375
pythia160,without_geometry,target_fold_mean,,,,0.8508895833333333
pythia160,without_likelihood,target_fold_mean,,,,0.8244291666666668
pythia160,without_peak,target_fold_mean,,,,0.8531666666666667
pythia160,without_trajectory,target_fold_mean,,,,0.8538833333333333
smollm2,cats_full,target_fold_mean,,,,0.6287430180050745
smollm2,cats_likelihood,target_fold_mean,,,,0.6293814171409393
smollm2,combined,target_fold_mean,,,,0.628014417376613
smollm2,fisher,target_fold_mean,,,,0.6048479551127594
smollm2,geometry_only,target_fold_mean,,,,0.56218507918757
smollm2,geometry_position,target_fold_mean,,,,0.5590047061370196
smollm2,mean_only,target_fold_mean,,,,0.6087115787298567
smollm2,min_k_plus_plus_20,target_fold_mean,,,,0.602728311885624
smollm2,negative_loss,target_fold_mean,,,,0.5816204150899525
smollm2,ordinary,target_fold_mean,,,,0.6050898650130745
smollm2,rich_likelihood,target_fold_mean,,,,0.628014417376613
smollm2,without_concentration,target_fold_mean,,,,0.6070888231731278
smollm2,without_divergence,target_fold_mean,,,,0.59528293639811
smollm2,without_geometry,target_fold_mean,,,,0.6009390153372833
smollm2,without_likelihood,target_fold_mean,,,,0.5686575044555605
smollm2,without_peak,target_fold_mean,,,,0.6020721265991533
smollm2,without_trajectory,target_fold_mean,,,,0.6024783519634563
