setting,method,scope,target_id,outer_fold,phase,auc
fresh,cats_full,phase_fold_mean,,,fresh_confirmation,0.7386849412328359
fresh,cats_full,phase_fold_mean,,,fresh_validation,0.7644284567906311
fresh,cats_likelihood,phase_fold_mean,,,fresh_confirmation,0.7375643857288576
fresh,cats_likelihood,phase_fold_mean,,,fresh_validation,0.7635174400772122
fresh,combined,phase_fold_mean,,,fresh_confirmation,0.7537669998790937
fresh,combined,phase_fold_mean,,,fresh_validation,0.7682948094940086
fresh,fisher,phase_fold_mean,,,fresh_confirmation,0.7605954056049415
fresh,fisher,phase_fold_mean,,,fresh_validation,0.7649841036995159
fresh,geometry_only,phase_fold_mean,,,fresh_confirmation,0.7314864749762875
fresh,geometry_only,phase_fold_mean,,,fresh_validation,0.7415584811918055
fresh,geometry_position,phase_fold_mean,,,fresh_confirmation,0.7359001931500029
fresh,geometry_position,phase_fold_mean,,,fresh_validation,0.7442494635701595
fresh,mean_only,phase_fold_mean,,,fresh_confirmation,0.7434657824624727
fresh,mean_only,phase_fold_mean,,,fresh_validation,0.7613907651880998
fresh,min_k_plus_plus_20,phase_fold_mean,,,fresh_confirmation,0.7250109988665289
fresh,min_k_plus_plus_20,phase_fold_mean,,,fresh_validation,0.7431636766072619
fresh,negative_loss,phase_fold_mean,,,fresh_confirmation,0.690769895199264
fresh,negative_loss,phase_fold_mean,,,fresh_validation,0.7024842679025677
fresh,ordinary,phase_fold_mean,,,fresh_confirmation,0.7457177236424789
fresh,ordinary,phase_fold_mean,,,fresh_validation,0.7639743194366028
fresh,rich_likelihood,phase_fold_mean,,,fresh_confirmation,0.7537669998790937
fresh,rich_likelihood,phase_fold_mean,,,fresh_validation,0.7682948094940086
fresh,without_concentration,phase_fold_mean,,,fresh_confirmation,0.7448895431894266
fresh,without_concentration,phase_fold_mean,,,fresh_validation,0.764099644678184
fresh,without_divergence,phase_fold_mean,,,fresh_confirmation,0.7492629832894715
fresh,without_divergence,phase_fold_mean,,,fresh_validation,0.7690234684748739
fresh,without_geometry,phase_fold_mean,,,fresh_confirmation,0.7439271123383702
fresh,without_geometry,phase_fold_mean,,,fresh_validation,0.7721966784599269
fresh,without_likelihood,phase_fold_mean,,,fresh_confirmation,0.7177875519212661
fresh,without_likelihood,phase_fold_mean,,,fresh_validation,0.7224325344249044
fresh,without_peak,phase_fold_mean,,,fresh_confirmation,0.7522741390783658
fresh,without_peak,phase_fold_mean,,,fresh_validation,0.7594734605718442
fresh,without_trajectory,phase_fold_mean,,,fresh_confirmation,0.7492404292456913
fresh,without_trajectory,phase_fold_mean,,,fresh_validation,0.7533770117770777
initial,cats_full,phase_fold_mean,,,initial_confirmation,0.7350848816322808
initial,cats_full,phase_fold_mean,,,initial_validation,0.7386684464999572
initial,cats_likelihood,phase_fold_mean,,,initial_confirmation,0.7339898293026729
initial,cats_likelihood,phase_fold_mean,,,initial_validation,0.7395876979104484
initial,combined,phase_fold_mean,,,initial_confirmation,0.743809141111388
initial,combined,phase_fold_mean,,,initial_validation,0.7481316557946229
initial,fisher,phase_fold_mean,,,initial_confirmation,0.7482355120838391
initial,fisher,phase_fold_mean,,,initial_validation,0.7527822863894201
initial,geometry_only,phase_fold_mean,,,initial_confirmation,0.6985261841133977
initial,geometry_only,phase_fold_mean,,,initial_validation,0.7072675951098982
initial,geometry_position,phase_fold_mean,,,initial_confirmation,0.7085671456093124
initial,geometry_position,phase_fold_mean,,,initial_validation,0.7060397580199178
initial,mean_only,phase_fold_mean,,,initial_confirmation,0.7314300917521689
initial,mean_only,phase_fold_mean,,,initial_validation,0.7387171727381101
initial,min_k_plus_plus_20,phase_fold_mean,,,initial_confirmation,0.7175522365507194
initial,min_k_plus_plus_20,phase_fold_mean,,,initial_validation,0.7299941350109533
initial,negative_loss,phase_fold_mean,,,initial_confirmation,0.6836592048672688
initial,negative_loss,phase_fold_mean,,,initial_validation,0.6803213869508795
initial,ordinary,phase_fold_mean,,,initial_confirmation,0.7429657325807789
initial,ordinary,phase_fold_mean,,,initial_validation,0.7481463040562945
initial,rich_likelihood,phase_fold_mean,,,initial_confirmation,0.743809141111388
initial,rich_likelihood,phase_fold_mean,,,initial_validation,0.7481316557946229
initial,without_concentration,phase_fold_mean,,,initial_confirmation,0.7416511109761781
initial,without_concentration,phase_fold_mean,,,initial_validation,0.753223132536008
initial,without_divergence,phase_fold_mean,,,initial_confirmation,0.7409749868963692
initial,without_divergence,phase_fold_mean,,,initial_validation,0.7498419062407083
initial,without_geometry,phase_fold_mean,,,initial_confirmation,0.7385919622457239
initial,without_geometry,phase_fold_mean,,,initial_validation,0.7445440944044212
initial,without_likelihood,phase_fold_mean,,,initial_confirmation,0.6848053125015265
initial,without_likelihood,phase_fold_mean,,,initial_validation,0.7056255453477277
initial,without_peak,phase_fold_mean,,,initial_confirmation,0.7452155875858772
