property,initial,fresh,pythia160,smollm2
geometry.A,0.6407990585594133,0.6480249666607756,0.7536541666666667,0.5421383652709678
geometry.R,0.6293769884111767,0.6387927635471496,0.7398625,0.5482151502134565
geometry.B,0.6248086403814139,0.6322692838182083,0.7383479166666665,0.5526352505099705
geometry.G,0.6261341985016402,0.6444803892460622,0.7224979166666666,0.5302747900939602
geometry.L,0.5083679786805424,0.49924486491156783,0.5352416666666666,0.5043472858369061
geometry.N,0.5304437871152854,0.5195791630952232,0.54356875,0.5150775112170588
geometry.D,0.5217346931445325,0.49817565671914715,0.5195166666666666,0.5214695509428758
geometry.conditional_L,0.5217558519922683,0.4972629162163908,0.5195145833333332,0.5023928329218567
geometry.full.entropy_alignment,0.5290052010511853,0.5073547256368472,0.5645645833333334,0.5073002321111834
geometry.conditional.entropy_alignment,0.5130644982969524,0.5412203507113426,0.5585291666666665,0.4998564369966453
trajectory.full.cumulative,0.5028044591435175,0.5202378080212707,0.49871875,0.4938462034702464
trajectory.full.length,0.517727855782192,0.4992342844083575,0.4941854166666666,0.5053222735885746
trajectory.full.endpoint,0.5125594450569017,0.5208241640307864,0.5507166666666666,0.5120535400192147
trajectory.full.excess,0.5054944533745804,0.49281629265317545,0.5080510416666667,0.5089316787971897
trajectory.full.turn,0.5115605544205353,0.5105228878982361,0.5116333333333333,0.4917205583897285
trajectory.full.turn_sum,0.49195730008177296,0.5126945759700585,0.50810625,0.49957613037118
trajectory.full.rate,0.49699500864112967,0.5121607012774628,0.5262104166666667,0.5218841142144546
trajectory.conditional.cumulative,0.5086161904677693,0.5211620254681153,0.50990625,0.4996530416764733
trajectory.conditional.length,0.5151688084370869,0.5069424861532855,0.51615,0.5084232101855055
trajectory.conditional.endpoint,0.5280275124385451,0.5074551406933242,0.5497395833333333,0.5071246170134148
trajectory.conditional.excess,0.5137974466282127,0.5088868979402325,0.51231875,0.5126072863694953
trajectory.conditional.turn,0.4984207056903252,0.497315799303753,0.5039708333333333,0.48335087013470973
trajectory.conditional.turn_sum,0.48637602331855917,0.5100406812525954,0.4902229166666667,0.4954365393695033
trajectory.conditional.rate,0.5097307340569004,0.5175193759856963,0.5209645833333333,0.4941816417808019
position.vertex,0.6574080822338378,0.6806139550227355,0.7674729166666666,0.5712315192991925
